Well,Well Position,Dilution,Sample Name,Target Name,Class,Task,Reporter,Quencher,Quantity,Quantity Mean,Quantity SD,RQ,RQ Min,RQ Max,CT,Ct Mean,Ct SD,Delta Ct,Delta Ct Mean,Delta Ct SE,Delta Delta Ct,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,Tm1,Tm2,Tm3,Custom1
241,K1,1,A_300_0,IdhA,Control,UNKNOWN,SYBR,None,,,,1,0.200484231,4.987923145,19.517519,23.03872108,2.898193121,,3.448234797,1.024879932,0,TRUE,0.173799,TRUE,1,40,,83.53139496,,,
242,K2,1,A_300_0,IdhA,Control,UNKNOWN,SYBR,None,,,,1,0.200484231,4.987923145,19.4715004,23.03872108,2.898193121,,3.448234797,1.024879932,0,TRUE,0.173799,TRUE,1,40,,84.33643341,,,
243,K3,1,A_300_0,IdhA,Control,UNKNOWN,SYBR,None,,,,1,0.200484231,4.987923145,19.55838394,23.03872108,2.898193121,,3.448234797,1.024879932,0,TRUE,0.173799,TRUE,1,40,,83.66556549,,,
244,K4,1,A_300_40,IdhA,Control,UNKNOWN,SYBR,None,,,,0.25675413,0.057139192,1.153720975,18.95905304,21.86300278,2.761182785,,5.409775734,0.972935259,1.961540699,TRUE,0.173799,TRUE,1,40,,84.33643341,,,
245,K5,1,A_300_40,IdhA,Control,UNKNOWN,SYBR,None,,,,0.25675413,0.057139192,1.153720975,18.75251961,21.86300278,2.761182785,,5.409775734,0.972935259,1.961540699,TRUE,0.173799,TRUE,1,40,,84.33643341,,,
246,K6,1,A_300_40,IdhA,Control,UNKNOWN,SYBR,None,,,,0.25675413,0.057139192,1.153720975,18.49939346,21.86300278,2.761182785,,5.409775734,0.972935259,1.961540699,TRUE,0.173799,TRUE,1,40,,83.93391418,,,
247,K7,1,C_300_1,IdhA,Control,UNKNOWN,SYBR,None,,,,0.281281143,0.066387802,1.191771388,18.68302536,22.0913868,2.772156,,5.278150082,0.934871078,1.829915285,TRUE,0.173799,TRUE,1,40,,84.33643341,,,
248,K8,1,C_300_1,IdhA,Control,UNKNOWN,SYBR,None,,,,0.281281143,0.066387802,1.191771388,19.06565857,22.0913868,2.772156,,5.278150082,0.934871078,1.829915285,TRUE,0.173799,TRUE,1,40,,83.79974365,,,
249,K9,1,C_300_1,IdhA,Control,UNKNOWN,SYBR,None,,,,0.281281143,0.066387802,1.191771388,18.98394012,22.0913868,2.772156,,5.278150082,0.934871078,1.829915285,TRUE,0.173799,TRUE,1,40,,84.20225525,,,
250,K10,1,D_300_0,IdhA,Control,UNKNOWN,SYBR,None,,,,0.014852822,0.000415922,0.530403614,20.23732376,28.44960594,6.859375,,9.521353722,2.315062761,6.073119164,TRUE,0.173799,TRUE,1,40,,84.06808472,,,
251,K11,1,D_300_0,IdhA,Control,UNKNOWN,SYBR,None,,,,0.014852822,0.000415922,0.530403614,20.65377998,28.44960594,6.859375,,9.521353722,2.315062761,6.073119164,TRUE,0.173799,TRUE,1,40,,83.93391418,,,
252,K12,1,D_300_0,IdhA,Control,UNKNOWN,SYBR,None,,,,0.014852822,0.000415922,0.530403614,20.32675934,28.44960594,6.859375,,9.521353722,2.315062761,6.073119164,TRUE,0.173799,TRUE,1,40,,83.93391418,,,
253,K13,1,D_300_40,IdhA,Control,UNKNOWN,SYBR,None,,,,0.923963547,0.259730577,3.286900759,20.43432426,22.12517548,1.78062427,,3.562327147,0.774254203,0.114092194,TRUE,0.173799,TRUE,1,40,,83.93391418,,,
